Nazwa,Zdjecie,Gwiazdki,Region,Miasto
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas
STEP HOTEL,https://www.coraltravel.pl/hotels_min/10/11851/28266/bułgaria-burgas-step-hotel-budynek.jpg,1,Bułgaria,Burgas
PERLA GOLDEN SANDS,https://www.coraltravel.pl/hotels_min/10/11857/30503/bułgaria-varna-perla-golden-sands-budynek-glowny.jpg,3,Bułgaria,Varna
CITY PEARL(EX ADAMAKIS HOTEL),https://www.coraltravel.pl/hotels_min/43/69/10395/grecja-kreta-city-pearl-lobby.jpg,3,Grecja,Kreta
ORCHID FORT GARDEN,https://www.coraltravel.pl/hotels_min/10/11851/28207/bułgaria-burgas-orchid-fort-garden-relaks-w-basenie.jpg,2,Bułgaria,Burgas
EFTALIA DOWN TOWN HOTEL,https://www.coraltravel.pl/hotels_min/1/3/520/turcja-alanya-eftalia-down-town-hotel-widok-z-hotelu.jpg,3,Turcja,Alanya
PORTO PLAZZA,https://www.coraltravel.pl/hotels_min/43/69/1305/grecja-kreta-porto-plazza-grecja-wakacje.jpg,3,Grecja,Kreta
IRENE BEACH,https://www.coraltravel.pl/hotels_min/43/69/25290/budynek-glowny.jpg,3,Grecja,Kreta
UNCLE GEORGE,https://www.coraltravel.pl/hotels_min/43/69/9194/grecja-kreta-uncle-george-hhotel.jpg,2,Grecja,Kreta
KASSANDRA FAMILY APT HOTEL ,https://www.coraltravel.pl/hotels_min/43/70/19316/grecja-rodos-kassandra-family-apt-hotel-budynek-glowny.jpg,3,Grecja,Rodos
STALIS HOTEL,https://www.coraltravel.pl/hotels_min/43/69/22400/grecja-kreta-stalis-hotel-basen.jpg,3,Grecja,Kreta
EVRIDIKA,https://www.coraltravel.pl/hotels_min/10/11851/12925/bułgaria-burgas-evridika-plaza-i-hotel.jpg,3,Bułgaria,Burgas
APARTHOTEL ROYAL SUN HOTEL (EX. ROYAL SUN HOTEL),https://www.coraltravel.pl/hotels_min/10/11851/20147/bulgaria-burgas-aparthotel-royal-sun-bulgaria-wakacje.jpg,2,Bułgaria,Burgas
DEDALOS HOTEL,https://www.coraltravel.pl/hotels_min/43/69/33510/grecja-kreta-dedalos-hotel-basen.jpg,3,Grecja,Kreta
SLAVYANSKI,https://www.coraltravel.pl/hotels_min/10/11851/19846/bułgaria-burgas-slavyanski-wakacje.jpg,3,Bułgaria,Burgas
ARISTO APARTMENTS,https://www.coraltravel.pl/hotels_min/43/69/23008/grecja-kreta-aristo-apartments-wejscie-do-hotelu.jpg,3,Grecja,Kreta
DIAMOND APARTMENTS AND SUITES,https://www.coraltravel.pl/hotels_min/43/69/9732/grecja-kreta-diamond-apartments-and-suites-pokoj-5.jpg,3,Grecja,Kreta
THEONI APARTMENTS,https://www.coraltravel.pl/hotels_min/43/69/24164/grecja-kreta-theoni-apartments-ap-basen.jpg,1,Grecja,Kreta
PERLA APARTMENTS,https://www.coraltravel.pl/hotels_min/43/69/11033/grecja-kreta-perla-apartments-basen.jpg,3,Grecja,Kreta
SUN STAR BEACH HOTEL,https://www.coraltravel.pl/hotels_min/1/3/623/turcja-alanya-sun-star-beach-hotel-widok-na-hotel-i-morze.jpeg,4,Turcja,Alanya
FALIRAKI DREAM,https://www.coraltravel.pl/hotels_min/43/70/27290/grecja-rodos-faliraki-dream-plaza.jpg,2,Grecja,Rodos
RENA APARTMENTS,https://www.coraltravel.pl/hotels_min/43/69/18475/grecja-kreta-rena-apartments-baseeen.jpg,2,Grecja,Kreta
