Nazwa,Zdjecie,Gwiazdki,Region,Miasto,Start,Koniec,Dorosli,Dziecko3,Dziecko10,Dziecko18,Wyzywienie,Typ_pokoju,Znizka,Cena
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-06-24,2023-07-04,3,0,2,1,breakfastAndDinner,medium,0,26125.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-12-29,2024-01-08,4,0,2,0,breakfastAndDinner,apartment,0,27500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-19,2023-01-26,4,2,2,2,onlyBreakfast,apartment,0,24500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-15,2023-05-22,3,1,0,1,breakfastAndDinner,apartment,0,15400.000000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-17,2023-08-24,3,0,1,0,allInclusive,large,0,15312.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-06,2023-05-13,1,0,2,2,breakfastAndDinner,small,0,13475.000000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-14,2023-02-21,4,0,0,2,onlyBreakfast,medium,0,19250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-12,2023-01-19,1,1,2,1,allInclusive,medium,0,13125.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-18,2023-09-01,2,0,2,2,breakfastAndDinner,studio,0,34650.00000000001
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-20,2023-03-27,3,0,2,1,breakfastAndDinner,large,0,18287.500000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-27,2023-09-06,3,2,1,2,onlyBreakfast,apartment,0,27500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-06-18,2023-07-02,1,0,2,1,onlyBreakfast,apartment,0,19250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-05,2023-08-19,2,1,2,1,onlyBreakfast,studio,0,28000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-13,2023-07-20,2,0,1,0,breakfastAndDinner,large,0,9625.000000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-18,2023-03-04,2,2,1,2,allInclusive,studio,0,39375.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-08,2023-10-18,2,2,0,1,onlyBreakfast,apartment,0,16250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-12-26,2024-01-02,3,2,2,0,onlyBreakfast,small,0,15750.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-07,2023-02-17,1,0,2,2,breakfastAndDinner,large,0,19250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-13,2023-07-20,4,1,0,1,breakfastAndDinner,small,0,19250.000000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-13,2023-04-27,3,1,2,0,allInclusive,large,0,37187.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-08,2023-01-15,3,2,1,2,allInclusive,studio,0,24062.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-25,2023-10-05,2,1,2,0,breakfastAndDinner,small,0,17875.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-02,2023-03-09,1,2,0,1,allInclusive,studio,0,9843.75
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-26,2023-11-05,1,0,0,0,onlyBreakfast,small,0,5000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-08,2023-10-18,1,1,1,2,onlyBreakfast,studio,0,16250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-20,2023-08-03,1,0,2,0,allInclusive,small,0,17500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-30,2023-05-14,1,2,0,2,onlyBreakfast,small,0,21000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-20,2023-07-30,3,0,0,1,onlyBreakfast,large,0,18750.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-24,2023-10-01,4,2,0,0,breakfastAndDinner,studio,0,17325.000000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-26,2023-11-05,4,2,1,0,breakfastAndDinner,medium,0,27500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-11-04,2023-11-14,2,1,2,2,allInclusive,medium,0,29687.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-01,2023-02-08,1,0,2,0,breakfastAndDinner,medium,0,7700.000000000001
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-28,2023-06-07,1,0,1,0,onlyBreakfast,medium,0,7500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-22,2023-10-29,2,2,1,2,allInclusive,large,0,19687.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-19,2023-03-01,4,2,0,2,allInclusive,large,0,37500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-27,2023-02-06,3,1,2,0,onlyBreakfast,medium,0,21250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-01,2023-01-11,2,1,0,0,onlyBreakfast,apartment,0,11250.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-22,2023-09-29,4,0,2,2,breakfastAndDinner,medium,0,25025.000000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-31,2023-11-07,1,1,2,0,breakfastAndDinner,studio,0,8662.500000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-21,2023-08-04,3,0,1,2,onlyBreakfast,apartment,0,35000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-06-30,2023-07-14,3,1,0,2,allInclusive,studio,0,41562.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-12-12,2023-12-22,2,0,2,1,allInclusive,small,0,23437.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-15,2023-05-25,2,2,0,1,allInclusive,studio,25,15234.375
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-06,2023-04-13,3,2,0,2,breakfastAndDinner,large,0,19250.000000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-03,2023-03-10,3,2,2,1,onlyBreakfast,studio,0,18375.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-11-28,2023-12-12,2,2,2,1,allInclusive,medium,0,37187.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-28,2023-09-07,2,2,1,2,allInclusive,medium,0,28125.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-10,2023-07-24,2,0,2,0,breakfastAndDinner,medium,0,23100.000000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-31,2023-04-07,3,2,0,2,allInclusive,small,0,21875.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-12,2023-01-26,1,2,1,0,onlyBreakfast,studio,0,14000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-01,2023-07-11,3,1,1,2,allInclusive,apartment,0,32812.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-02,2023-03-09,4,0,1,0,allInclusive,apartment,0,19687.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-15,2023-05-29,4,1,1,2,breakfastAndDinner,apartment,0,48125.00000000001
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-06-30,2023-07-10,2,0,1,2,onlyBreakfast,large,0,20000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-29,2023-04-12,4,1,2,0,allInclusive,small,0,45937.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-09,2023-02-16,4,1,0,0,breakfastAndDinner,studio,0,16362.500000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-04,2023-09-11,2,1,1,0,onlyBreakfast,studio,0,9625.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-27,2023-04-06,3,1,0,0,breakfastAndDinner,large,0,17875.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-17,2023-03-31,2,0,1,1,breakfastAndDinner,large,50,12512.500000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-28,2023-09-04,2,2,2,2,onlyBreakfast,small,0,17500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-12-20,2023-12-27,4,0,1,0,allInclusive,studio,25,14765.625
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-06-21,2023-07-01,3,2,0,1,breakfastAndDinner,studio,0,23375.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-07,2023-05-21,4,2,2,1,onlyBreakfast,studio,0,43750.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-25,2023-04-04,3,1,1,1,onlyBreakfast,small,0,22500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-24,2023-10-08,1,1,0,1,onlyBreakfast,large,0,14000.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-01-04,2023-01-11,3,2,1,1,breakfastAndDinner,small,0,18287.500000000004
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-11-05,2023-11-12,4,2,2,1,allInclusive,studio,0,27343.75
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-28,2023-10-12,4,0,1,1,allInclusive,small,0,45937.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-30,2023-05-14,4,2,2,0,allInclusive,apartment,0,48125.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-30,2023-10-10,1,1,1,1,allInclusive,small,0,15625.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-10,2023-02-17,4,2,0,1,allInclusive,small,0,22968.75
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-02-03,2023-02-10,2,1,0,1,onlyBreakfast,small,0,10500.0
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-04-14,2023-04-21,2,0,1,1,allInclusive,studio,0,14218.75
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-14,2023-05-21,1,0,1,2,breakfastAndDinner,studio,0,11550.000000000002
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-22,2023-11-05,4,2,0,0,allInclusive,large,50,19687.5
LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-20,2023-04-03,3,0,1,0,onlyBreakfast,small,0,24500.0
